"bus_id","stop_id","departure_time","stop_name","route-id"
"101","101","16230","Freising Bahnhof Start","101"
"101","106","16710","Landratsamt","101"
"101","113","17370","Steinpark","101"
"101","147","17790","Berufsschule","101"
"101","159","18450","Freising Bahnhof Ende","101"
"101","101","18630","Freising Bahnhof Start","102"
"101","106","19110","Landratsamt","102"
"101","113","19770","Steinpark","102"
"101","147","20190","Berufsschule","102"
"101","159","20850","Freising Bahnhof Ende","102"
"101","101","21030","Freising Bahnhof Start","103"
"101","106","21510","Landratsamt","103"
"101","113","22170","Steinpark","103"
"101","147","22590","Berufsschule","103"
"101","159","23250","Freising Bahnhof Ende","103"
"101","101","23430","Freising Bahnhof Start","104"
"101","106","23910","Landratsamt","104"
"101","113","24570","Steinpark","104"
"101","147","24990","Berufsschule","104"
"101","159","25650","Freising Bahnhof Ende","104"
"101","101","25830","Freising Bahnhof Start","105"
"101","106","26310","Landratsamt","105"
"101","113","26970","Steinpark","105"
"101","147","27390","Berufsschule","105"
"101","159","28050","Freising Bahnhof Ende","105"
"101","101","28230","Freising Bahnhof Start","106"
"101","106","28710","Landratsamt","106"
"101","113","29370","Steinpark","106"
"101","147","29790","Berufsschule","106"
"101","159","30450","Freising Bahnhof Ende","106"
"101","101","30630","Freising Bahnhof Start","107"
"101","106","31110","Landratsamt","107"
"101","113","31770","Steinpark","107"
"101","147","32190","Berufsschule","107"
"101","159","32850","Freising Bahnhof Ende","107"
"101","101","33030","Freising Bahnhof Start","108"
"101","106","33510","Landratsamt","108"
"101","113","34170","Steinpark","108"
"101","147","34590","Berufsschule","108"
"101","159","35250","Freising Bahnhof Ende","108"
"101","101","35430","Freising Bahnhof Start","109"
"101","106","35910","Landratsamt","109"
"101","113","36570","Steinpark","109"
"101","147","36990","Berufsschule","109"
"101","159","37650","Freising Bahnhof Ende","109"
"101","101","37830","Freising Bahnhof Start","110"
"101","106","38310","Landratsamt","110"
"101","113","38970","Steinpark","110"
"101","147","39390","Berufsschule","110"
"101","159","40050","Freising Bahnhof Ende","110"
"101","101","40230","Freising Bahnhof Start","111"
"101","106","40710","Landratsamt","111"
"101","113","41370","Steinpark","111"
"101","147","41790","Berufsschule","111"
"101","159","42450","Freising Bahnhof Ende","111"
"101","101","42630","Freising Bahnhof Start","112"
"101","106","43110","Landratsamt","112"
"101","113","43770","Steinpark","112"
"101","147","44190","Berufsschule","112"
"101","159","44850","Freising Bahnhof Ende","112"
"101","101","45030","Freising Bahnhof Start","113"
"101","106","45510","Landratsamt","113"
"101","113","46170","Steinpark","113"
"101","147","46590","Berufsschule","113"
"101","159","47250","Freising Bahnhof Ende","113"
"101","101","47430","Freising Bahnhof Start","114"
"101","106","47910","Landratsamt","114"
"101","113","48570","Steinpark","114"
"101","147","48990","Berufsschule","114"
"101","159","49650","Freising Bahnhof Ende","114"
"101","101","49830","Freising Bahnhof Start","115"
"101","106","50310","Landratsamt","115"
"101","113","50970","Steinpark","115"
"101","147","51390","Berufsschule","115"
"101","159","52050","Freising Bahnhof Ende","115"
"101","101","52230","Freising Bahnhof Start","116"
"101","106","52710","Landratsamt","116"
"101","113","53370","Steinpark","116"
"101","147","53790","Berufsschule","116"
"101","159","54450","Freising Bahnhof Ende","116"
"101","101","54630","Freising Bahnhof Start","117"
"101","106","55110","Landratsamt","117"
"101","113","55770","Steinpark","117"
"101","147","56190","Berufsschule","117"
"101","159","56850","Freising Bahnhof Ende","117"
"101","101","57030","Freising Bahnhof Start","118"
"101","106","57510","Landratsamt","118"
"101","113","58170","Steinpark","118"
"101","147","58590","Berufsschule","118"
"101","159","59250","Freising Bahnhof Ende","118"
"101","101","59430","Freising Bahnhof Start","119"
"101","106","59910","Landratsamt","119"
"101","113","60570","Steinpark","119"
"101","147","60990","Berufsschule","119"
"101","159","61650","Freising Bahnhof Ende","119"
"101","101","61830","Freising Bahnhof Start","120"
"101","106","62310","Landratsamt","120"
"101","113","62970","Steinpark","120"
"101","147","63390","Berufsschule","120"
"101","159","64050","Freising Bahnhof Ende","120"
"101","101","64230","Freising Bahnhof Start","121"
"101","106","64710","Landratsamt","121"
"101","113","65370","Steinpark","121"
"101","147","65790","Berufsschule","121"
"101","159","66450","Freising Bahnhof Ende","121"
"101","101","66630","Freising Bahnhof Start","122"
"101","106","67110","Landratsamt","122"
"101","113","67770","Steinpark","122"
"101","147","68190","Berufsschule","122"
"101","159","68850","Freising Bahnhof Ende","122"
"101","101","69030","Freising Bahnhof Start","123"
"101","106","69510","Landratsamt","123"
"101","113","70170","Steinpark","123"
"101","147","70590","Berufsschule","123"
"101","159","71250","Freising Bahnhof Ende","123"
"101","101","71430","Freising Bahnhof Start","124"
"101","106","71910","Landratsamt","124"
"101","113","72570","Steinpark","124"
"101","147","72990","Berufsschule","124"
"101","159","73650","Freising Bahnhof Ende","124"
"101","101","73830","Freising Bahnhof Start","125"
"101","106","74310","Landratsamt","125"
"101","113","74970","Steinpark","125"
"101","147","75390","Berufsschule","125"
"101","159","76050","Freising Bahnhof Ende","125"
"101","101","76230","Freising Bahnhof Start","126"
"101","106","76710","Landratsamt","126"
"101","113","77370","Steinpark","126"
"101","147","77790","Berufsschule","126"
"101","159","78450","Freising Bahnhof Ende","126"
