"bus_id","stop_id","departure_time","stop_name","route-id"
"101","201","16230","Freising Bf Anfang","201"
"101","202","16350","Ottostraße/Heiliggeistgasse","201"
"101","203","16410","Sonnenstraße","201"
"101","204","16470","Kölblstraße","201"
"101","205","16530","Angererweg","201"
"101","206","16590","Landratsamt","201"
"101","207","16710","Wiesenthalstraße","201"
"101","208","16770","Moltkestraße","201"
"101","209","16830","Angermaierstraße","201"
"101","210","16890","Asamstraße","201"
"101","211","16950","Gen.-v.-Stein-Straße","201"
"101","212","17070","Steinpark","201"
"101","213","17130","Waldfriedhof","201"
"101","214","17190","Karwendelring","201"
"101","215","17250","Rotkreuzstraße","201"
"101","216","17310","Wettersteinring","201"
"101","217","17370","Am Kneippgarten","201"
"101","218","17430","Berufsschule","201"
"101","219","17490","Obervellacher Straße","201"
"101","220","17550","Stadtwerke","201"
"101","221","17610","AOK","201"
"101","222","17670","Schönmetzlerstraße","201"
"101","223","17820","Freising Bf Ende","201"
"101","201","18030","Freising Bf Anfang","202"
"101","202","18150","Ottostraße/Heiliggeistgasse","202"
"101","203","18210","Sonnenstraße","202"
"101","204","18270","Kölblstraße","202"
"101","205","18330","Angererweg","202"
"101","206","18390","Landratsamt","202"
"101","207","18510","Wiesenthalstraße","202"
"101","208","18570","Moltkestraße","202"
"101","209","18630","Angermaierstraße","202"
"101","210","18690","Asamstraße","202"
"101","211","18750","Gen.-v.-Stein-Straße","202"
"101","212","18870","Steinpark","202"
"101","213","18930","Waldfriedhof","202"
"101","214","18990","Karwendelring","202"
"101","215","19050","Rotkreuzstraße","202"
"101","216","19110","Wettersteinring","202"
"101","217","19170","Am Kneippgarten","202"
"101","218","19230","Berufsschule","202"
"101","219","19290","Obervellacher Straße","202"
"101","220","19350","Stadtwerke","202"
"101","221","19410","AOK","202"
"101","222","19470","Schönmetzlerstraße","202"
"101","223","19620","Freising Bf Ende","202"
"101","201","19830","Freising Bf Anfang","203"
"101","202","19950","Ottostraße/Heiliggeistgasse","203"
"101","203","20010","Sonnenstraße","203"
"101","204","20070","Kölblstraße","203"
"101","205","20130","Angererweg","203"
"101","206","20190","Landratsamt","203"
"101","207","20310","Wiesenthalstraße","203"
"101","208","20370","Moltkestraße","203"
"101","209","20430","Angermaierstraße","203"
"101","210","20490","Asamstraße","203"
"101","211","20550","Gen.-v.-Stein-Straße","203"
"101","212","20670","Steinpark","203"
"101","213","20730","Waldfriedhof","203"
"101","214","20790","Karwendelring","203"
"101","215","20850","Rotkreuzstraße","203"
"101","216","20910","Wettersteinring","203"
"101","217","20970","Am Kneippgarten","203"
"101","218","21030","Berufsschule","203"
