"bus_id","stop_id","departure_time","stop_name","route-id"
"101","101","30","Freising Bahnhof Start","101"
"101","106","510","Landratsamt","101"
"101","113","1170","Steinpark","101"
"101","147","1590","Berufsschule","101"
"101","159","2250","Freising Bahnhof Ende","101"
"101","101","2430","Freising Bahnhof Start","102"
"101","106","2910","Landratsamt","102"
"101","113","3570","Steinpark","102"
"101","147","3990","Berufsschule","102"
"101","159","4650","Freising Bahnhof Ende","102"
"101","101","4830","Freising Bahnhof Start","103"
"101","106","5310","Landratsamt","103"
"101","113","5970","Steinpark","103"
"101","147","6390","Berufsschule","103"
"101","159","7050","Freising Bahnhof Ende","103"
"101","101","7230","Freising Bahnhof Start","104"
"101","106","7710","Landratsamt","104"
"101","113","8370","Steinpark","104"
"101","147","8790","Berufsschule","104"
"101","159","9450","Freising Bahnhof Ende","104"
"101","101","9630","Freising Bahnhof Start","105"
"101","106","10110","Landratsamt","105"
"101","113","10770","Steinpark","105"
"101","147","11190","Berufsschule","105"
"101","159","11850","Freising Bahnhof Ende","105"
"101","101","12030","Freising Bahnhof Start","106"
"101","106","12510","Landratsamt","106"
"101","113","13170","Steinpark","106"
"101","147","13590","Berufsschule","106"
"101","159","14250","Freising Bahnhof Ende","106"
"101","101","14430","Freising Bahnhof Start","107"
"101","106","14910","Landratsamt","107"
"101","113","15570","Steinpark","107"
"101","147","15990","Berufsschule","107"
"101","159","16650","Freising Bahnhof Ende","107"
"101","101","16830","Freising Bahnhof Start","108"
"101","106","17310","Landratsamt","108"
"101","113","17970","Steinpark","108"
"101","147","18390","Berufsschule","108"
"101","159","19050","Freising Bahnhof Ende","108"
"101","101","19230","Freising Bahnhof Start","109"
"101","106","19710","Landratsamt","109"
"101","113","20370","Steinpark","109"
"101","147","20790","Berufsschule","109"
"101","159","21450","Freising Bahnhof Ende","109"
"101","101","21630","Freising Bahnhof Start","110"
"101","106","22110","Landratsamt","110"
"101","113","22770","Steinpark","110"
"101","147","23190","Berufsschule","110"
"101","159","23850","Freising Bahnhof Ende","110"
"101","101","24030","Freising Bahnhof Start","111"
"101","106","24510","Landratsamt","111"
"101","113","25170","Steinpark","111"
"101","147","25590","Berufsschule","111"
"101","159","26250","Freising Bahnhof Ende","111"
"101","101","26430","Freising Bahnhof Start","112"
"101","106","26910","Landratsamt","112"
"101","113","27570","Steinpark","112"
"101","147","27990","Berufsschule","112"
"101","159","28650","Freising Bahnhof Ende","112"
"101","101","28830","Freising Bahnhof Start","113"
"101","106","29310","Landratsamt","113"
"101","113","29970","Steinpark","113"
"101","147","30390","Berufsschule","113"
"101","159","31050","Freising Bahnhof Ende","113"
"101","101","31230","Freising Bahnhof Start","114"
"101","106","31710","Landratsamt","114"
"101","113","32370","Steinpark","114"
"101","147","32790","Berufsschule","114"
"101","159","33450","Freising Bahnhof Ende","114"
"101","101","33630","Freising Bahnhof Start","115"
"101","106","34110","Landratsamt","115"
"101","113","34770","Steinpark","115"
"101","147","35190","Berufsschule","115"
"101","159","35850","Freising Bahnhof Ende","115"
